[main] 2020-08-18 09:49:05.229 INFO  >>> com.zte.dao.ServiceTest - Starting ServiceTest on 7TAV70GMCNQG825 with PID 24844 (started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 09:49:05.232 INFO  >>> com.zte.dao.ServiceTest - The following profiles are active: dev
[background-preinit] 2020-08-18 09:49:05.853 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 09:49:09.767 INFO  >>> springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
[main] 2020-08-18 09:49:10.616 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
[main] 2020-08-18 09:49:10.671 INFO  >>> springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
[main] 2020-08-18 09:49:10.710 INFO  >>> springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
[main] 2020-08-18 09:49:11.673 INFO  >>> com.zte.common.config.InitDataSource - 正在连接数据库。。。
[main] 2020-08-18 09:49:12.074 INFO  >>> com.zte.common.config.InitDataSource - 连接数据库完成
[main] 2020-08-18 09:49:12.142 INFO  >>> com.zte.common.config.InitRedis - redis连接成功
[main] 2020-08-18 09:49:12.143 INFO  >>> com.zte.dao.ServiceTest - Started ServiceTest in 7.499 seconds (JVM running for 9.536)
[main] 2020-08-18 11:37:33.134 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zte.dao.ServiceTest], using SpringBootContextLoader
